Categoria: Todas as categorias

Mês,Portable Document Format: (Brasil),Microsoft Word: (Brasil)
2004-01,42,20
2004-02,47,22
2004-03,48,25
2004-04,49,22
2004-05,44,23
2004-06,49,20
2004-07,47,19
2004-08,44,20
2004-09,45,17
2004-10,45,18
2004-11,42,19
2004-12,40,18
2005-01,40,16
2005-02,43,17
2005-03,44,19
2005-04,46,19
2005-05,41,17
2005-06,43,21
2005-07,40,18
2005-08,41,18
2005-09,39,18
2005-10,40,17
2005-11,39,18
2005-12,31,15
2006-01,32,15
2006-02,36,17
2006-03,37,17
2006-04,37,16
2006-05,37,19
2006-06,36,17
2006-07,33,16
2006-08,35,16
2006-09,33,16
2006-10,31,16
2006-11,32,17
2006-12,28,14
2007-01,28,14
2007-02,31,15
2007-03,33,17
2007-04,33,16
2007-05,36,18
2007-06,34,19
2007-07,32,17
2007-08,34,17
2007-09,33,18
2007-10,34,18
2007-11,32,19
2007-12,30,16
2008-01,29,15
2008-02,33,17
2008-03,35,20
2008-04,36,21
2008-05,36,21
2008-06,36,22
2008-07,33,18
2008-08,36,20
2008-09,37,23
2008-10,36,21
2008-11,38,23
2008-12,32,17
2009-01,34,18
2009-02,38,20
2009-03,42,24
2009-04,42,24
2009-05,44,25
2009-06,42,25
2009-07,39,19
2009-08,42,20
2009-09,43,23
2009-10,42,21
2009-11,42,24
2009-12,36,18
2010-01,36,16
2010-02,40,17
2010-03,46,22
2010-04,46,23
2010-05,46,23
2010-06,44,22
2010-07,41,18
2010-08,49,21
2010-09,47,22
2010-10,44,20
2010-11,46,23
2010-12,38,16
2011-01,36,15
2011-02,43,18
2011-03,46,20
2011-04,48,21
2011-05,49,22
2011-06,46,21
2011-07,41,15
2011-08,49,18
2011-09,49,19
2011-10,47,18
2011-11,47,20
2011-12,41,14
2012-01,41,13
2012-02,48,15
2012-03,56,18
2012-04,54,18
2012-05,55,19
2012-06,52,18
2012-07,47,14
2012-08,58,16
2012-09,57,17
2012-10,56,16
2012-11,59,21
2012-12,50,16
2013-01,51,16
2013-02,56,18
2013-03,61,23
2013-04,64,25
2013-05,61,24
2013-06,60,25
2013-07,58,19
2013-08,68,22
2013-09,68,24
2013-10,65,23
2013-11,63,25
2013-12,54,17
2014-01,61,17
2014-02,73,21
2014-03,72,23
2014-04,73,23
2014-05,75,26
2014-06,70,22
2014-07,68,20
2014-08,76,22
2014-09,78,25
2014-10,71,24
2014-11,73,27
2014-12,62,19
2015-01,64,17
2015-02,77,20
2015-03,88,27
2015-04,85,27
2015-05,83,28
2015-06,79,28
2015-07,73,21
2015-08,84,25
2015-09,83,27
2015-10,80,25
2015-11,79,29
2015-12,64,19
2016-01,63,16
2016-02,77,20
2016-03,84,25
2016-04,83,26
2016-05,85,28
2016-06,84,27
2016-07,72,19
2016-08,79,22
2016-09,79,23
2016-10,76,23
2016-11,79,28
2016-12,66,18
2017-01,68,18
2017-02,82,21
2017-03,95,27
2017-04,90,27
2017-05,88,29
2017-06,80,27
2017-07,77,20
2017-08,92,25
2017-09,87,27
2017-10,83,26
2017-11,82,30
2017-12,70,21
2018-01,74,20
2018-02,84,23
2018-03,95,28
2018-04,94,30
2018-05,92,31
2018-06,88,29
2018-07,80,22
2018-08,94,26
2018-09,87,27
2018-10,85,25
2018-11,86,29
2018-12,71,19
2019-01,75,19
2019-02,91,24
2019-03,96,25
2019-04,96,27
2019-05,95,29
2019-06,91,28
2019-07,86,25
2019-08,100,29
2019-09,99,30
2019-10,91,27
2019-11,86,27
2019-12,71,19
2020-01,76,19
